,comments,label
1,카메라 시꺼먼거 실환가,
2,헐 21이 벌써 나오는구너,
3,ㅋㅋ첨보는 디자인이네여,
4,모지 케이스 네모네모하게 빵꾸난 거 같음,
5,아니 제발 굴곡화면좀 잃으면안돼??,
6,오 개이쁨,
7,오 20보다 렌즈 괜찮네여,
8,옹...생각보다 괜춘한디여?,
9,와 노트20보다 이쁘다 ㅠㅠ슬프네,
10,ㅋㅋㅋㅋ귀여워,
11,맨날 셀카에서 보이던 홀로그램 뒷면 없으니까 낯서네요ㅋㅋ,
12,😍,
13,귀여우이,
14,이젠 제니 레드 없는건가요?? 완전 찰떡이었는데!,
15,원래 다 아이폰 썼어섴ㅋㅋㅋㅋㅋㅋ폰2개,
16,😮,
17,😮,
18,😮,
19,😮,
20,침착맨 당당한표정 킹받네,
21,😮,
22,😮,
23,😮,
24,😮,
25,침착맨 당당한표정 킹받네,
26,😮,
27,버즈 라이브 별로에요.. 나의 브론즈 잘가..ㅜ,
28,👏,
29,버즈 라이브 케이스는 버즈보다 예뻐서 부럽더라고요😂버즈 플러스 널 사랑하지만 예쁜 케이스가 별로 없어 모양이 애매해,
30,라이브 잘만 끼우면 안아프고 좋아욤 좀 큰 강낭콩 같기는 하지만.. 콩나물보다는 낫다..,
31,귀가 덜 아파서 좋아요~~케이스도 더 이쁘고,
32,😂,
33,ㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
34,버즈 라이브 별로에요.. 나의 브론즈 잘가..ㅜ,
35,👏,
36,버즈 라이브 케이스는 버즈보다 예뻐서 부럽더라고요😂버즈 플러스 널 사랑하지만 예쁜 케이스가 별로 없어 모양이 애매해,
37,라이브 잘만 끼우면 안아프고 좋아욤 좀 큰 강낭콩 같기는 하지만.. 콩나물보다는 낫다..,
38,귀가 덜 아파서 좋아요~~케이스도 더 이쁘고,
39,😂,
40,ㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
41,버즈 라이브 별로에요.. 나의 브론즈 잘가..ㅜ,
42,👏,
43,버즈 라이브 케이스는 버즈보다 예뻐서 부럽더라고요😂버즈 플러스 널 사랑하지만 예쁜 케이스가 별로 없어 모양이 애매해,
44,라이브 잘만 끼우면 안아프고 좋아욤 좀 큰 강낭콩 같기는 하지만.. 콩나물보다는 낫다..,
45,귀가 덜 아파서 좋아요~~케이스도 더 이쁘고,
46,😂,
47,ㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
48,안쓰러울만도....,
49,왜 안쓰럽죠,
50,저는 노트20울트라 화이트 kt요,
51,😮,
52,"와,,,저도 엘진데 남는거하나 던져주세요....!",
53,우와...,
54,왜 안쓰러운거에요? 사진 화질이 안좋아서....?,
55,안쓰러운 건 아니고 마케팅 일종이죠 어차피 기자인데 본인 사진 찍히는 건 부담스럽고 저런 기삿거리 하나 주면서도 삼성 이미지 챙기는?,
56,이 일화 유명한 기사인데 안쓰럽다는 말 어디에도 없었어요 커뮤에서 멋대로 붙인 거예용,
57,제목이 잘못했네요 전혀 저런 뜻 없었어요사석에서 기자가 이재용부회장 알아보고 인텨뷰 요청하면서 녹음할거라고 lg폰 들이밀었는데 그때 갤럭시면 해드렸을텐데 ㅎㅎ...이렇게 장난식으로 말한거라고 알고있어요,
58,그냥 기자가 이재용부회장님 인터뷰하려고 쫒아온건데 엘지폰인거 보고 농담식으로 갤럭시면 대답해줬을텐데.. 갤럭시가 아니라 노코멘트 이러시다가 내가 하나 보내줘야겠네 하고 바로 선물하신거에요!,
59,저도 엘지인데 던져주세요...제발...💦,
60,lg폰인데 진짜진짜 오래된거고.... 바꾸고싶다 나도 삼성 ㅠ,
61,왜 안쓰러워요??,
62,커뮤에서 멋대로 붙인거라네요!,
63,멋있다.. 저는 치킨 뿌링클 아아 아니요.. 노트10+ 화이트 skt요.....,
64,저는 제트 플립이여!!!!!!,
65,왜 가지고 다니는건가요?!,
66,와,
67,헐 저는 z플립 미러퍼플이요!!,
68,전 노트20 화이트 KT입니다~~~~~~,
69,저도 엘지인데...ऀืົཽ≀ ͔ ͕̮ ऀืົཽ✧,
70,저는 z플립이요!!!!!,
71,와 머싯다...,
72,엣지 골드 에스케이......,
73,와...,
74,저 노트20 sk요!!! ㅜㅜㅜㅜㅜ,
75,전 갤럭시 암거나유,
76,저뚜... 저뚜 엘지 쓰는디... 오래 썼는데... 암거나 주세요...,
