,comments,label
1,11 사려고 이미 맘먹움,1
2,색깔 다 예뻐요 진짜 인정,1
3,발열이 너무 심해여 ㅠㅠ,0
4,"6S 4년차입니다...떨어져서 액정 깨진 것 말고는 고장이 안 납니다... 배터리만 교체했습니다,,",1
5,아니대체왜..,0
6,어짜피 케이스씌우면 괜찮지않나요??,1
7,케이블 너무 비싸요 ㅎㅎ 어쩔 수 없이 그것만 사야하는 거 알고 그런건지.... 그리고 음악 바로 못 넣는 것뚜..,0
8,우와,1
9,삼페랑 사운드어시 진짜.... 갓,0
10,아이폰은 숫자를 거꾸로 세나요???,0
11,짱 귀여워ㅠㅠㅠㅜㅜ,1
12,정말 삼성 너무 멋져,1
13,삼성도 프리미엄 모델은 다 5g만 내나봐요ㅜㅜ,0
14,6s가 겨우 버티고 있었는데......!!!!,1
15,연보라색 나오면 아이폰이지만 바로 살듯ㄷㄷㄷㄷ,1
16,아이폰은 더이상 쓰기 싫은데 너무 족쇄임 맥북 아이패드며 각종 앱 연동이 그냥 족쇄,0
17,"너네 왜그래 진짜,,,,",0
18,삼성 진짜 너무 멋있잖아... 최고네요,1
19,퍼플 진짜 진짜 예뻐요ㅠㅠㅠㅠ,1
20,와 모배 하면 꿀잼이겠다,1
21,3 사진정리ㅠ 이거 1번이랑 2번으로 불편한 적은 없었어요,0
22,아 악 ?!,0
23,헐 ..... 11쓰고 있는데 넘 무거워서 바꾸고 싶은 저에겐 넘 혹하는 ㅜㅜㅜ모델이네요,1
24,제발.. 왜이래요ㅠㅠㅠㅠ,0
25,와 이런 기능 있는거 처음알았어요 완전 신기하당,1
26,오,1
27,패드 워치 에어팟 쓰는 나에겐 무족권,1
28,이쁘다,1
29,20+ 쓰는데 확실히 카메라 좋아요,0
30,실버색상은 안나오는건가요ㅠㅠ 빨간색이 쨍한 빨강만 아니라면 빨강으로 사야겠어요,1
31,와,1
32,전 기본이 좋아요.. 심플 이즈 더 베스트,1
33,33 아이클라우드도 쉽게 털립니다 ㅠ-ㅠ,0
34,덕질 하시는 분들... 사진 여러 장 저장할 때 그렇게 유용합니다 짤줍에 좋아요,1
35,헐 어릴때 폰에 고리 달고 다니는거 진짜 좋아했는데ㅠㅠㅠㅠ,1
36,그 값만큼 가격 내려가면 ㅇㅈ합니다,1
37,💸,0
