,comments,label
1,🎉,
2,🎉,
3,퍼시픽블루 색상 이번에 예쁘게 잘 뽑았더라고오^^사이드 유광 정말 예뻐서 부러웠습니다.,
4,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
5,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅋㅋㅌㅌㅌㅌㅌㅌㅌㅋㅋㅋㅋㅋㅋ,
6,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
7,𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅,
8,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅋㅋㅋㅋㅋㅋ,
9,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
10,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
11,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이번에도 닉값 하는시는군요ㅋㅋㅋㅋㅋ👍🏻,
12,이분 다닐때마다 계셬ㅋㅋㅋㅋㅋㅋㅋ,
13,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
14,오 이제 엘지에서 갤럭시 쓰시는군요,
15,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
16,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
17,와 이쁘다,
18,얼른 바꾸고싶어요..,
19,와 옆에 진짜 예쁘다 용달블루 아니네,
20,삼성아 우리 힘 좀 내줘ㅠㅠㅠㅠ 할 수 있짜나,
21,혹시 몰라서 덧붙이는건데 12프로랑 12랑 블루가 달라요 12는 용달블루st이고 저건 퍼시픽블루 입니다!,
22,폰 바꾸고싶은데 약정이...,
23,저는 프로를 살 마음이 0인데 색 다 프로만 잘빠지고 12는 다 별로라.. 저 색이랑 그래파이트? 너무 이쁜데 프로 ㄴㄴ..,
24,핸드폰도 핸드폰인데 12부터 적용되는 무선충전기가 좋아보이더라고여,
25,오.. 확실히 실물이 낫네요,
