,comments,label
53202,전작부터 해온 유저인데 전작에비해 눈도 퀘적하고 게임도 케쥬얼해져서 편하게 접해볼수있는 게임이된거 같다 급식들 표창장받고 문상받으면 살정도로 저렴이니까 다들 해보는걸 추천! 공룡빠돌이의 점수는 10점남점에 7점 준다,1
83874,스팀으로 시작해서 카카오로 끝나다.,0
90184,컴퓨터가 뇌내망상하는지 한턴한턴이 고역이다. 게임을 안 사는게 정신건강에 좋으므로 잘 인지하도록 하자.,0
13256,아직 부족한게 많네요,0
4495,큐브트렉터를 하면서 노르아드레날린의 분비가 촉진됬습니다.,1
67196,달빠들을 위한 게임 그 이상도 이하도 아닌 게임 스토리는 굉장히 좋았지만 그것도 달빠가 아니면 느끼지 못함 무쌍게임이지만 무쌍은 거드는 수준 무엇보다 필살기를 미션당 한번만 쓸수 있다는게 흠,0
31874,일단 메인화면은 좋게 보이는데 그 안의 게임이 좀 문제다,0
76996,SuperPower 2 에서 실행하는데 작동이 중지되었습니다 도왔주세요.,1
55882,너무 명작이라 할말을 잃었습니다.,0
97195,이 게임의 조작상태는 플레이어에게 무엇을 바라는지 알 수 없다.,0
9333,게임만 팔아먹고 회사는 관리 안 하는 게임 입니다. 구매하지 마세요,0
28208,"육성형 로그라이크의 획을 그었다고는 하나, 지금 굳이 하기에는 더 발전된 작품이 너무나 많다.",0
19293,페미 묻은 겜,0
20112,몹시 실망스러운 게임. 이거 나오면 갓갓겜이라던 애들은 다 한강포탈로 뛰어드는게 낫다 COH2 같은 쓰레기보다 못함 그리고 디비전은 갓겜일것이다 (엄근진),0
66614,말랑한 값 하는 가벼운 퍼즐 퍼즐 난이도 ★★★,1
78195,시발 시발 시발 시발,0
36457,too many bug. 씨팔 내가 버그를 하는건지 게임을 하는건지 모르겠다.,0
49138,제발 스팀에서 나가 주세요^^,0
97070,"i7 8700k를 오버해서 쓰는데, 부하가 많이 걸려서 그런건지, 발열이 많이나서 그런건지, 모르지만 오류 걸리면서 팅김. 4500명만 뽑았는데도.....",0
95608,패드랑 나랑 맞지 않는다는걸 다시 깨달았다.,0
15136,엔지니어 풀업글에 다른것도 거의 업글 끝내놓고 컴퓨터 사정때문에 포맷한번 했는데 캐릭터 다 리셋됨 원래이런거임?,0
46189,0%와 100% 이외에는 믿지마라,1
86429,윈도우10 계정명이 한글이라고 게임저장도 안되고 계정명바꿔도 안되고 답은 환불이다. 윈도우10인데 사는사람들은 조심하고사세요,0
76068,플랜짠다음에 감옥만들고 얘들들이고 발전하고 딱여기까지임 어느정도 만들면 계속 똑같은일 반복뿐 뭔가 갑자기 일어나는 일도없고 나중에는 평화로운 양로원같은곳이되버림,0
31290,교미장면이 2D 라이브라는 사전정보가 없이 시작했기 때문에 교미신에서 2D 라이브가 작렬할 때 저는 그만 그자리에서 감동의 백탁액을 흘리고 말았습니다...,1
84984,"구매하고 나서 몇시간 밖에 안했는데 노잼, 괜히 산듯. 돈낭비 해버림.",0
74978,나만 뿅망치로 그림만 다 밝히고 5마리 잡는 뿅망치질 하고나서도 아무일도 안 일어남?? 패치 안했을때도 그렇고 해도 그런데 대체 뭐가 문제임??,0
7762,로딩안됨안함,0
12258,왜 싱글플레이가 락이되어잇죠??,0
30214,5만원 넘게할때 산 첫 스팀게임 군대에서 휴가나와서 보니까 확장팩포함 1만원대에 팔고있었음 확장팩만 사려면 여전히 1만원대여서 접은겜,0
10419,5500원 값을 하는지는 모르겠지만 탑뷰슈팅게임으로써는 잘만든것 같다 세일할 때 사는걸 추천,1
28926,야겜에 돈쓰기가 아깝습니까? (그게 왜 아까워?) 이걸 다운로드 하십시오!,1
71510,자간 넓어서 박스 밖으로 넘어가던거 패치 됐네요. 한글 뿐만 아니라 다른 언어들 중에도 문제가 있었던 듯.,1
44706,한글만 지원해준다면 내가 추천했는데 한글은 ps판만 지원해줘서 추천을 안한다.,0
79419,도트에 던전탐색형인 매트로배니아를 좋아하는 사람은 재미있습니다 근대 약간짧은감이 있습니다 세일하면 사세요,1
2691,"먼치킨 형, 알렉스 머서의 미국에서 깽판치기. 미군이 쌔다한들 알렉스형 앞에서는 그냥 잡몹일뿐!",1
99543,개빡침 솔직히. 어떻게 깨는지 모르겠음.,0
72622,우주 진출 탐사 발전 전쟁 멸망 모든것을 다 경험할수 잇지만 항상 신박한 이벤트들이 발생해서 망하면서도 또 하게되는 갓겜중 하나입니다 워크샵에서 한글패치 제공됩니다,1
36582,존슨즈베이비,1
37676,서버 선택을 할려하는데 . 선택을하고 입장하기 눌렀는데 채널을 선택하라는 알림창만 뜨고 게임이 실행이 않된다,0
15820,게임실행하니까 팅김 계속그럼 게임을 켤 수 없음,1
21075,열일하는 나레이션 좋아요. 오홍홍,1
64952,게임의 스피드합과 타격감은 좋으나 계속 나오는 버그들이 아쉽네요. 그래도 오랜만에 보는 수준급의 인디겜 이라 응원합니다.,1
20344,오전에 25% 세일이여서 삿는데 지금보니 8시간 세일로 50%나 세일한다 씨바르ㅡ,0
84849,게임은 재밋고 좋습니다...하지만 멀티인원이 조금더 늘었으면 합니다 8명정도되야 아는사람들이랑 즐겁게 할 수 있을것 같습니다.,1
31502,깡다이 (0/4/0) 농담이고 나름 재밌는 게임입니다,1
28623,하프라이프1 보단 다소 쉬운 느낌입니다. 전반적으로 많이 쉽고 어두운 느낌이며 전투도 많이 쉽습니다.,1
31144,내가 이걸 왜 산거야,0
21623,퍼즐이랑 길찾기랑 일부보스가 너무 핵불닭맛인데 캐릭터가 귀여우니 뭐... 고생한셈치자.,1
99740,이게임을 하면서 외계인과 해적들한테 털리고 나면 반란군들이야 말로 정의라는걸 느끼게해줌,1
77604,"키조작이 조금 불편합니다. 설치범위도 좁아서 각을 잘 맞춰야 설치할수 있고, 화면 흔들림이 약간 있습니다. 마치 프레디를 보듯이 카메라를 통해 보는 공포가 색다르군요. 버그인지 모르겠지만 전, 셋팅과 게임 종료시 오류알림이 뜨네요",1
44270,감사합니다. 이 게임을 계기로 새로운 삶을 살게되었습니다.,1
59777,방송보고 어떤 조작감이길래 저러지 싶어서 해봤는데 살짝 꺾으면 급발진해서 벽에 박아버린다. 미친 사람정신병 걸리게 만드는 게임인거 같다. 깨신분들 대단;;,0
42316,ㅋㅋㅋㅋ 스토리 배경 싹다 서든어택 배꼈네요 표절겜이 다그렇제 ㅄ겜 ㅋㅋ ㅗ,0
94254,사람이 다 빠져부렀어,0
36829,새끼야 돈주가 제데로 샀는데 왜 실행이 안되냐고 무결성 검사해도 잘못된 파일 하나도 없고 그래픽 드라이브도 최신버전인데 빨리 고쳐라 년들아,0
4909,재미있지만 조금 하다가 질려버린다는 점에서는 추천하고 싶지않다 하지만 도시건설과 정치를 합친점을 따지면 추천하고 싶다 개인적으로 이게임의 완성도가 높기때문에 나는 추천한다,1
81150,몇번하고 나면 좀 지루...,0
42428,꼭 사셈,1
75120,와 시발! 아주 시발이네!,0
30496,뭔가 하면 토나올거같이 어지러워짐 아직 괴물은 못봤지만 곧 만날거같다 슈발,1
48628,피처폰 감성,1
45091,존나 씹갓겜 꼭사세요,0
60192,제가 바다를 상당히 좋아하는데 이거 재밌어요.,1
16657,걍 재밌음. 무조건 재밌음. 할인할때 샀음.,1
34240,일단 사람이 너무 없어서 매칭이 조나 안된다 상대랑 레벨이 1정도만 차이나도 3:1혹은 4:1매칭을 잡아준다 (난 왜 4:1을 해야 되는 거냐구) Q.E로 죽이는게 잼있다 반대로 내가 뒤지면 개빡친다,0
11136,아니 이거 GC를 구매 했는데 아이템을 어떻게 사라는거에여 돈도 많은데 못 사게 하고 먹튀에여?,0
61099,"모모도라보다 레벨디자인도 게임적인 재미도 퇴화한것같다. 초반 적들이 굉장히 강력하지만 그뿐이고, 회피 성능과 공격 범위가 너무 넓어 적응된 뒤에는 거의 죽지 않고 플레이가 가능한 것도 긴장감이 떨어지게 만든다.",0
4563,몇개 되지 않는 선택지 후 나에게 갑작스럽게 찾아온 GAME OVER.....오글거리는 대사와 성우 음성까지 참아가며 진행했는데 이게 무슨일???,0
15746,비주얼만 보고 개그게임이라 생각했지만 이런 풍이어서 더욱 잔혹하고 슬프게 느껴짐. 이쪽 분야(?)에 조금의 관심만 있다면 케릭터 하나하나에 감정이입되어 시간가는줄 모르고 할 수 있는 게임.,1
3444,재미있음 힐링 영어로 대화하니까 더 재미있음ㅋㅋㅋㅋ사람들 다 따듯혀,1
79216,아이 시2발 진짜 게임시작 절대안되네 시발망겜 같으니라고 줫같네 진짜 시2발 계속 시작할려하면 어디 로그인해라 뭐 해라 이지랄떨면서 못하게 만드네 시발 망겜 진짜,0
10180,쓰레기 엔딩 판타지 게임,0
52467,아직 멀티 호환이 잘 안되나봐요 서버에 들어와서 같이 플레이하면 서버에 들어온사람 어느순간 튕김. 몇번 반복되고나서는 그냥 껐어요 어떻게 플레이해야되는지도 잘 모르겠음... 코코넛 구하기라던지...,0
44272,"현대 FPS의 시작이자, 최고의 FPS 게임 중 하나. 더 이상의 설명이 필요합니까? 쏘고, 달리고, 생각하고, 살아남으세요. *2000년대 이후의 FPS 게임에 익숙한 플레이어들에게는 어려울 수 있으니, 가장 쉬운 난이도를 권장합니다.",1
45001,전작 시리즈들은 싹다 클리어해봤음 이건 워낙 악평이 많아서 안 사고 버티다가 무료플레이 주간에 캠페인만 해보다 지웠는데 역시 대다수가 욕하는건 대부분 이유가 있는듯... 무슨 인내력 테스트 하는 기분임 안 사길 정말 잘한 듯,0
64991,이 게임으로 인해 친구를잃었습니다,0
29923,하고 싶어도 핑이 너무 튀어서 못해먹겠음...,0
80873,게임은 꼭 할인할때 삽시다 시발ㅎ,0
91539,클라우드 저장안되서 PC방에서 하고 그냥끄면 날라갑니다. 꼭 세이브파일 저장하시고 끄세유,0
33303,루시우볼이랑 비슷하다해서 샀는데 공을 골대에 쳐박아야한다는 것만 비슷한듯,0
97009,게임 실행할때 검은 화면 나오면서 팅기네요,0
